box_img_group,label,IoU,sample_size,F1,Precision,Recall
<0.05,Knee Bone @ MR,0.732284,43,0.789045,0.766059,0.822528
<0.05,Knee Soft Tissue @ MR,0.460774,948,0.565047,0.589735,0.624877
<0.05,Liver @ CT,0.768167,613,0.832654,0.823711,0.868852
<0.05,Liver Tumor/Lesion @ CT,0.403759,1098,0.496922,0.556821,0.526494
<0.05,Lung Tumor/Lesion @ CT,0.306369,362,0.374613,0.419553,0.377772
<0.05,Metastatic Lymph Node @ MR,0.303883,627,0.367172,0.370489,0.414127
<0.05,Miscellaneous Tumor/Lesion @ CT,0.172535,999,0.235395,0.280873,0.244676
<0.05,Others @ CT,0.262544,28,0.360763,0.394592,0.381176
<0.05,Pancreas @ CT,0.621467,1151,0.729231,0.779307,0.742209
<0.05,Pancreas Tumor/Lesion @ CT,0.278582,245,0.387559,0.354005,0.50982
<0.05,Prostate @ MR,0.521222,168,0.63635,0.5588,0.83357
<0.05,Spleen @ CT,0.89694,911,0.93862,0.928432,0.958358
<0.05,Stomach @ CT,0.810739,207,0.874531,0.897505,0.870815
<0.05,Urinary System @ CT,0.493914,33,0.575615,0.574455,0.667522
<0.05,Vein @ CT,0.677878,864,0.754437,0.747164,0.779236
